,course_code,words
608,PBPL 24500,mode
609,PBPL 24500,pricing
610,PBPL 24500,third
611,PBPL 24500,equivalent
612,PBPL 24500,commuting
613,PBPL 24500,economics
614,PBPL 24500,choice
615,PBPL 24500,address
616,PBPL 24500,policy
617,PBPL 24500,monitoring
618,PBPL 24500,tolley
619,PBPL 24500,finance
620,PBPL 24500,poverty
621,PBPL 24500,transportation
622,PBPL 24500,rental
623,PBPL 24500,income
624,PBPL 24500,location
625,PBPL 24500,amenities
626,PBPL 24500,urban
627,PBPL 24500,needed
628,PBPL 24500,llso
629,PBPL 24500,models
630,PBPL 24500,model
631,PBPL 24500,cities
632,PBPL 24500,pbpl
633,PBPL 24500,homelessness
634,PBPL 24500,residential
635,PBPL 24500,growth
636,PBPL 24500,congestion
637,PBPL 24500,versus
638,PBPL 24500,tools
639,PBPL 24500,problems
640,PBPL 24510,basic
641,PBPL 24510,recent
642,PBPL 24510,gnse
643,PBPL 24510,foundations
644,PBPL 24510,recommended
645,PBPL 24510,development
646,PBPL 24510,methods
647,PBPL 24510,prerequisite
648,PBPL 24510,gender
649,PBPL 24510,field
650,PBPL 24510,religion
651,PBPL 24510,econ
652,PBPL 24510,data
653,PBPL 24510,evaluations
654,PBPL 24510,soci
655,PBPL 24510,stat
656,PBPL 24510,class
657,PBPL 24510,conflicts
658,PBPL 24510,particular
659,PBPL 24510,impact
660,PBPL 24510,review
661,PBPL 24510,intersections
662,PBPL 24510,equivalent
663,PBPL 24510,conflict
664,PBPL 24510,innovative
665,PBPL 24510,related
666,PBPL 24510,theoretical
667,PBPL 24510,engage
668,PBPL 24510,psychosocial
669,PBPL 24510,international
670,PBPL 24510,economic
671,PBPL 24510,work
672,PBPL 24510,chdv
673,PBPL 24510,political
674,PBPL 24510,pbpl
675,PBPL 24510,issues
676,PBPL 24510,research
677,PBPL 24510,gonzalez
678,PBPL 24701,lands
679,PBPL 24701,consideration
680,PBPL 24701,lodato
681,PBPL 24701,outcomes
682,PBPL 24701,historical
683,PBPL 24701,policies
684,PBPL 24701,cultural
685,PBPL 24701,equivalent
686,PBPL 24701,lead
687,PBPL 24701,underpinnings
688,PBPL 24701,policymaking
689,PBPL 24701,factors
690,PBPL 24701,product
691,PBPL 24701,certain
692,PBPL 24701,theoretical
693,PBPL 24701,states
694,PBPL 24701,policy
