,term1,term2,term3,term4
ENSC 23805,Winter,,,
ENSC 23820,Autumn,,,
ENSC 23900,Autumn,,,
ENSC 24000,Spring,,,
ENSC 24100,Autumn,,,
ENSC 24200,Autumn,,,
ENSC 24300,Autumn,,,
ENSC 24400,Autumn,,,
ENSC 24500,Autumn,,,
ENSC 25200,Spring,,,
ENSC 28100,Spring,,,
ENSC 29002,Winter,,,
ENSC 29005,Winter,,,
ENSC 29700,Summer, Autumn, Winter, Spring
ENSC 29800,Autumn,,,
BCSN 10103,Autumn,,,
BCSN 10203,Winter,,,
BCSN 10303,Spring,,,
BCSN 20103,Autumn,,,
BCSN 20203,Winter,,,
BCSN 20303,Spring,,,
BCSN 21101,Autumn,,,
BCSN 21200,Winter,,,
BCSN 21300,Spring,,,
CZEC 10103,Autumn,,,
CZEC 10203,Winter,,,
CZEC 10303,Spring,,,
CZEC 20103,Autumn,,,
CZEC 20203,Winter,,,
CZEC 20303,Spring,,,
CZEC 27700,Spring,,,
POLI 10103,Autumn,,,
POLI 10203,Winter,,,
POLI 10303,Spring,,,
POLI 20103,Autumn,,,
POLI 20203,Winter,,,
POLI 20303,Spring,,,
POLI 20500,Autumn,,,
POLI 20600,Winter,,,
POLI 20700,Spring,,,
POLI 24100,Autumn,,,
POLI 24200,Winter,,,
POLI 24300,Spring,,,
POLI 25303,Winter,,,
POLI 29900,Autumn, Winter, Spring,
REES 13802,Autumn,,,
REES 20001,Autumn,,,
REES 20020,Winter,,,
REES 20024,Winter,,,
REES 21002,Winter,,,
REES 21006,Spring,,,
REES 21100,Autumn,,,
REES 21200,Winter,,,
REES 21300,Spring,,,
REES 25600,Winter,,,
REES 25602,Winter,,,
REES 26011,Autumn,,,
REES 26012,Winter,,,
REES 27003,Winter,,,
REES 27025,Winter,,,
REES 29009,Winter,,,
REES 29010,Autumn,,,
REES 29012,Autumn,,,
REES 29013,Winter,Spring,,
REES 29018,Spring,,,
REES 29020,Winter,,,
REES 29700,Autumn, Winter, Spring,
REES 29813,Winter,,,
REES 29900,Autumn,Winter,Spring,
RUSS 10100,Autumn,,,
RUSS 10200,Winter,,,
RUSS 10300,Spring,,,
RUSS 20100,Autumn,,,
RUSS 20200,Winter,,,
RUSS 20300,Spring,,,
RUSS 20702,Autumn,,,
RUSS 20802,Winter,,,
RUSS 20902,Spring,,,
RUSS 21002,Autumn,,,
RUSS 21102,Winter,,,
RUSS 21202,Spring,,,
RUSS 21302,Autumn,,,
RUSS 21402,Winter,,,
RUSS 21502,Spring,,,
LLSO 20116,Autumn,,,
LLSO 21400,Winter,,,
LLSO 21603,Spring,,,
LLSO 22209,Spring,,,
LLSO 22401,Autumn,,,
LLSO 22402,Winter,,,
LLSO 22403,Winter,,,
LLSO 22612,Spring,,,
LLSO 22710,Autumn,,,
LLSO 23100,Winter,,,
LLSO 23415,Spring,,,
LLSO 23900,Winter,,,
LLSO 24000,Spring,,,
LLSO 24200,Autumn,,,
LLSO 24300,Spring,,,
LLSO 24711,Winter,,,
LLSO 24805,Autumn,,,
LLSO 24901,Autumn,,,
LLSO 25215,Winter,,,
LLSO 25411,Winter,,,
LLSO 25610,Spring,,,
LLSO 25903,Winter,,,
LLSO 26000,Winter,,,
LLSO 26201,Spring,,,
LLSO 26202,Spring,,,
LLSO 26703,Winter,,,
LLSO 26804,Winter,,,
LLSO 27306,Autumn,,,
LLSO 27950,Spring,,,
LLSO 28203,Spring,,,
LLSO 28710,Spring,,,
LLSO 28712,Autumn,,,
LLSO 29050,Winter,,,
LLSO 29400,Autumn,,,
SOSC 02980,Summer,,,
SOSC 11100,Autumn,,,
SOSC 11200,Winter,,,
SOSC 11300,Spring,,,
